prompt,completion
"Mas não daria um ' dez ' a um livro cujo personagem , pra atingir seu ' final feliz ' , controlou , manipulou e destruiu vidas em o processo .",livro
Kate mereceu todo o sofrimento por o qual passou .,
"E me consola ter visto ela sofrer também , bem como aumenta a nota que dou para o livro .",
Mas continuo pensando em o quanto teriam sido melhores as vidas de quem ela ' amava ' se ela tivesse se importado um pouco mais com eles de o que com a empresa .,
Sinto muita pena de todos que ela usou para atingir seus propósitos .,
Mais resenhas em http://garotapaidegua.blogspot.com,
"Sidney Seldon cria mais uma heroína que apaixona milhões de leitores em todo o mundo : Kate Blackwell , uma mulher rica e poderosa que controla um grande conglomerado internacional e sabe de côr todos os segredos e truques de o mundo de os negócios .",
"Este livro é tão bom , que achei o filme de ele e assisti depois de ter lido o livro , e reli muitas vezes também .",livro
Muito bom .,
"Continua com a "" Senhora de o Jogo "" que Sidney deixou boa parte escrita( já que faleceu por causa de uma pneumonia ) e outra escritora deu continuação a o livro( a família de Sheldon que pediu a ela ) e logo eu irei ler .",
Nossa esse livro com toda certeza é o meu preferido !,livro
foi o 1º que eu li e foi amor imediato .,
"Ele conta a estoria de 3 gerações cheia de altas e baixa mas que depois de tanta luta e determinação tudo dá certo , uma leitura apaixonante que te segura de o começo a o fim .",leitura
Eu recomendo !,
Já li umas 10x por o menos é a minha reliquia ..,
"Apesar de narrar a saga de uma família , O Reverso da Medalha centraliza sua história em Kate , e como sua figura dominadora mudou o destino de todos a o seu redor .",
"Uma personagem belamente construída , como só Sidney Sheldon poderia imaginar !",
Me pergunto se ele conheceu alguém assim !,
"As outras histórias acabam até tendo alguns clichês , principalmente as clássicas gêmeas boa e má , mas ainda assim o livro é delicioso !",livro
E o desenrolar de os fatos é sempre surpreeendente !,"desenrolar
de
os
fatos"
"Com uma narrativa que te prende de o início a o fim , o Reverso da Medalha é um de os livros que mais gosto !","narrativa
o
Reverso
da
Medalha"
Já li 3 vezes e recomendo !,
O melhor entre todos os livros escritos por Sidney Sheldon .,
"Sempre empolgante , não importa quantas vezes eu leia , sempre fico fascinada com o desenrolar de a trajetoria de Tracy Witney , virei fã de ela apesar de ser um personagem ficticio !","Tracy
Witney"
Se houver amanhã,
"Se houver amanhã conta a história de Tracy Whitney , que em o começo se encontra em uma vida perfeita .",
"Grávida e prestes a casar - se com o que considera o amor de sua vida e trabalhando em um emprego que gosta , Tracy não desconfia de o futuro que a aguarda .",
"Sua mãe logo depois de uma ligação sem propósito a princípio a Tracy , comete suicídio .",
"Depois de conhecer os pais de seu noivo Charles Stanhope III , herdeiro de uma família rica e que não era exatamente de acordo com o casamento de seu filho ; Tracy soube de a morte de sua mãe através de um telefonema .",
"Sem acreditar e não entendo o por quê de a morte repentina de sua mãe , ainda mais quando soube que foi suicídio , Tracy conhece toda a história por trás de a morte de Doris através de Otto , um antigo funcionário de a companhia de seu pai , companhia essa que sua mãe administrava depois de a morte de o pai .",
"A morte de Doris foi causada por um golpe de Joe Romano , prometendo comprar a companhia por um alto preço e depois de demitir funcionários e não pagar os fornecedores , Joe desisti de a transição de a venda e devolve a companhia já falida a a Doris .",
"Sem conseguir reerguer a empresa e cheia de dívidas , com ameaça de ser presa , Doris comete o suicídio .",
"Assim Tracy planeja uma vingança a Joe Romano , indo a casa de ele e o ameaçando com uma arma .",
"O que Tracy não sabia , era que Joe era mais vigarista de o que pensava , e acabou tramando um golpe para ela ser presa , com ajuda de um advogado e juíz que trabalhavam para seu protetor , Anthony Orssati .",
"Em a prisão , Tracy vive seus piores e mais dolorosos dias depois de perder o bebê e sem apoio mais de seu ex-noivo ; mas depois de um tempo em a solitária acaba mudando sua forma de agir e pensar e conseguindo apoio de uma companheira de cela , planeja uma fuga de ali .",
"Sem precisar fugir de a prisão , Tracy acaba sendo solta depois de salvar a filha de o diretor de um afogamento ( sendo que nem ela sabia nadar ) e começa a sua verdadeira vingança contra aqueles responsáveis por a destruição de sua mãe e de ela mesma .",
"Agora Tracy está mais preparada , mais fria , mais calculista e menos ingênua .",
"Mas depois de sua vingança feita , ela se vê sem emprego e sem perspectiva de estabilizar - se em um , já que é uma ex-condenada e famosa por isso , já que Joe Romano era um empresário famoso e pupíla de Anthony Orssati que praticamente comandava Nova Orleans .",
"E a partir de aí Tracy se vê com uma oportunidade de mudar de vida novamente , ou continua a vida miserável que acaba tendo fora de a prisão , ou aceita um roubo de jóias podendo ganhar um bom dinheiro .",
"E Tracy aceita o roubo ; depois de quase ser presa e quase ser enganada por outros vigaristas , ela consegue o dinheiro prometido após o roubo e se vê a partir de aí envolvida em vários planos e armações , sendo perseguida por policiais de vários países e com um outro vigarista de ' inimigo ' , o charmoso e encantador Jeff Stevens .",
"O livro é esplêndido , logo em o começo pensei que seria só mais uma história de injustiças , vinganças e superações , mas não .",livro
"Envolve uma reviravolta em a vida de Tracy e as partes mais interessantes e angustiantes de o livro são os roubos , feitos em lugares inusitados .",livro
"Quando pensamos que tudo irá dar errado e Tracy será presa novamente , o autor em os coloca uma solução simples mas inesperada para o problema em questão .",
Se houver amanhã é antes de tudo surpreendente .,"Se
houver
amanhã"
"Contém palavrões ( o que eu não gosto muito em um livro ) e algumas cenas ' picantes ' , mas nada que desmereça o livro e toda a história .","palavrões
cenas"
"Por fim , a edição que eu li foi a de a Best-Bolso , vira-vira , então as letras são pequenas e o livro parece ser um pouquinho grosso em relação a o de o outro lado , mas não afetou muito minha leitura .",
Perfeito !,
"Sem duvidas é um de os melhores livros que já li , a historia é incrível , super movimentada e bem desenvolvida , os personagens são marcantes e a narrativa é impecável .","historia
personagens
narrativa"
"O autor te envolve de uma maneira tão forte que você não consegue largar o livro até o fim , absorto em os fatos apresentados e tentando descobrir o que virá a seguir , a historia é cheia de reviravoltas e te deixa surpreso a todo o momento .",historia
"O livro conta a historia de Tracy , que esta irrevogavelmente em o topo de o meu top de protagonistas , ela é literalmente uma guerreira , passa por uma serie de acontecimentos difíceis e nós acompanhamos sua impressionante e de certa forma impactante transformação , sua característica mais marcante é a inteligência , ela é simplesmente incrível .","Tracy
ela"
"Com seu rostinho bonito , sua inteligência aguçada e seu "" ar de inocente "" ela é a profissional perfeita , de a qual ninguém suspeitaria .",
Esse é o primeiro livro que eu leio de o autor e definitivamente ele já é um de os meus autores favoritos !,
"Sem sombra de dúvida é um de os melhores livros que já li , Sidney Sheldon entrou pra minha lista de autores preferidos com ele e Tracy Whitney ganhou mais uma fã , como eu torci por essa personagem , acho que nunca encontrei uma protagonista que eu admirasse tanto , e creio que não estou sozinha em essa , uma amiga cogitou a hipótese de dar a sua filha , quando ela tiver uma , o nome de Tracy .","Tracy
Whitney"
"Parece exagero eu sei , mas a história é realmente muito boa , Tracy Whitney tinha um bom emprego , ganhava bem , estava apaixonada e iria se casar com um homem de a alta sociedade que era carinhoso e bonito , se considerava a mulher mais feliz de o mundo , e a com mais sorte também .",história
"É aí que a história muda totalmente de rumo , acontece uma tragédia com a sua mãe e , a o tentar resolver , Tracy entra em uma cilada e acaba por ser condenada a quinze anos de prisão ; seu noivo perfeito a acusa de sujar o nome de a sua família e a abandona a própria sorte .",
"É em esse ponto que ocorre a passagem que mais gostei em o livro , o modo como Tracy sai de a cadeia , legalmente , muito antes de cumprir sua sentença , sem conseguir provar sua inocência .","modo
como
Tracy
sai
de
a
cadeia"
"Ela vai atrás de a sua vingança , de provar a sua inocência , de fazer com que todos que a humilharam e lhe negaram ajuda paguem por isso .",
"Ela acabou virando uma ladra de jóias , obras de arte , objetos de altíssimo valor ; de início foi sem querer , mas acabou gostando em a nova profissão , pois lhe propiciava viver várias aventuras , correr riscos , usar disfarces , ser várias mulheres diferentes .",
"A nova vida de Tracy é muito empolgante , confesso que cogitei a hipótese de virar ladra também , ainda mais quando uma nova paixão surge em a vida de essa heroína , uma paixão de aquelas de tirar o fôlego e despertar muita inveja .",
SE HOUVER AMANHÃ é um livro que quando se termina de ler se pergunta : por que é que não li este livro antes ?,"SE
HOUVER
AMANHÃ
livro"
A história realmente vira a história em a página 170.. .,
"Pra inicio de conversa : Não quero dizer que o livro só se torna bom em a página 170 , ele é ótimo de o inicio a o fim , mas o fato é ele só realmente toma seu corpo em a página 170 .",livro
"O ritmo é eletrizante e rápido , mal dá tempo de ter a curiosidade , e as soluções já aparecem , é um digno livro de o mestre Sheldon , com mais uma perfeita personagem feminina , a Tracy , ela passa por fases , diversas de elas de uma mocinha lerdinha , á uma presidiria revoltada , para uma vingativa put's revolt's , e por fim á mestra de roubos .","ritmo
Tracy"
"O livro embora antigo , é atual .",livro
Indico .,
Se não houver coisa melhor,
Título : Se Houver Amanhã Autor : Sidney Sheldon Tradutor : Pinheiro de Lemos Editora : Record Nº de Paginas : 402 Período de Leitura : 18/01 a 19/01 Avaliação : 3 ESTRELAS .,
"Se Houver Amanhã não é tão ruim quanto eu imaginava , é claro que o livro não é um 5 estrelas , a prosa é pró lixo , superficial de mais , não permitindo que vc se apegue a os personagens e torça por eles .","Se
Houver
Amanhã
livro
prosa"
"A história em si é legal , uma mulher colocada em a cadeia injustamente que decide se vingar de os seus algozes e de a sociedade , o livro se divide em 3 livros e é narada em terceira pessoa , se vc acabou de ler um Dostoievisk ou um Saramago e quer algo mais leve , sem grandes questões a se refletir de leitura rápida leia Se Houver Amanhã .","história
Se
Houver
Amanhã"
Excelente !,
Em as primeiras páginas fiquei meio confusa se seria um livro bom mesmo .,
"Mas a partir de a Hora em quem Tracy se transforma e quer ir atras de os "" vilões "" e é presa td ja Muda !",
Em a cadeia ela aprende que td ali é aprendizagem !,
algumas passagens angustiantes em essa hora ... mas fortalece a vontade de ler mais e mais !,passagens
"quando ela sai ... ai começa a aventura =D Ela além de ser linda , é inteligente , discreta , sensual , "" Timida "" , um pouco dissimulada !",
... e em o começo meio insegura !,
mas com o passar de a historia conhecemos Jeff stevens !,
Maravilhoso digamos assim ... se encaixa perfeitamente em Tracy !,
e conhecemos tmb Daniel Cooper .. um detetive meio maluco mas inteligente de mais !,
Enfim ... a cada pagina uma nova aventura de Tracy Whitney !,
e em o fim ... vc fica com um sorriso bobo estampado em o rosto e um gosto de quero mais !,fim
=D,
Leitura sem compromisso,
É puro entretenimento e deve ser lido sem preconceito .,
"Enredo mirabolante , trama envolvente mas chega a haver exagero .","Enredo
trama"
A vilã-mocinha se tornou ladra por vingança e apenas rouba de os homens maus .,
O mocinho-cafajeste é o rei de o charme .,
"A história é recheada de reviravoltas e surpresas , e por aí vai .",
A fórmula de o sucesso .,
"Mas tenho que admitir , a leitura flui , a trama prende até a última página .","leitura
trama"
Tive a minha fase SS e não me arrependo .,
Ótimo,
"Nossa , que livro é esse ?",
"Livro que em muiitas partes tiive que parar para respirar , para tomar um pouco de fôlego .. kkk Gostei Bastante , a Tracy e o Jeff formam um casal perfeito e idênticos =p Suas trapaças se tornam um vício e em o final , fica uma pergunta em o final : Eles realmente conseguiram parar ?",Livro
E eu fiquei com outra pergunta em o ar ... Será que tem filme de esse livro ?,
"Pq se tiver eu , com certeza , quero assistir =p",
"Envolvente , simplesmente maravilhoso , dá pra ver bem de perto a negligencia de a policia , que em a verdade é assim em o mundo inteiro ...",
"Tracy Whitney não era rica , mas tinha um emprego em um banco e promessas de promoção , sua mãe cuidava de os negócios de o pai depois que ele falecera e além de isso , a moça iria se casar com o homem que amava , herdeiro de uma grande fortuna , que também demonstrava estar apaixonado por ela ... Enfim , parecia que tudo conspirava a seu favor .",
"Até que um trágico acontecimento leva por água abaixo todos os seus planos e Tracy se vê enredada em uma trama que podemos chamar de "" mafiosa "" .",
"Confiando em quem não deve , acreditando em boas intenções ( de aquelas que , dizem por aí , enchem o inferno ) , ela é presa e condenada .",
"A partir de aí , ela come o pão que o diabo amassou , literalmente começa a apanhar de a vida , enquanto tenta sobreviver naquele ambiente hostil , chegando a crer que não haveria mais saída .",
Até que ela se cansa de sua própria ingenuidade e submissão e começa a a lutar para se defender de a maneira que pode .,
É em esse ambiente sombrio de a prisão que ela faz amizades que lhe serão muito úteis e começa a arquitetar seus planos para quando sair de ali ... se houver amanhã .,
"Um dia , para sua sorte , o Universo parece voltar a conspirar a seu favor e ela consegue a liberdade .",
"Mas Tracy verá que para uma ex-detenta , a vida não é nada fácil .",
"Tenta viver honestamente ... Mas com o que aprendeu em a prisão , ela descobre que ganhará um bom dinheiro ... roubando .",
"Isso mesmo , Tracy torna - se ladra .",
"Uma ladra que poderia ser a professora de a personagem de Catherine Zeta-Jones em o filme "" Armadilha "" , de tão engenhosa , sendo o que Zeta-Jones não conseguiu em o filme : ser fascinante .",ladra
Não foi a a toa que Tracy Whitney foi considera a mais atraente de as heroínas de Sheldon : acabamos torcendo para que ela se dê bem .,ela
"Até mesmo porque as pessoas de quem ela rouba não poderiam ser chamadas de "" cidadãos honestos "" .",
"E enquanto sobrevive em o mundo de o crime , Tracy dá andamento a a sua vingança .",
"E além de tudo isso , surge Jeff Stevens , a versão masculina de Tracy , que vai disputar com ela roubo a roubo ... Enquanto também disputa o seu coração !",
"Afirmo que "" Se Houver Amanhã "" é uma trama que envolve paixões , aventura e até suspense , que Sheldon conseguiu dosar como pouquíssimos autores conseguem .",
"Não é a toa que o escritor foi roteirista , tanto de musicais de a Broadway , como de cinema , escrevendo para a MGM e a Paramount .",
"Inclusive , ele é o criador de duas séries que eu curtia muito : "" Jeannie é um Gênio "" e "" Casal 20 "" .",
"Pesquisando para essa resenha , descobri que ele é o único escritor que recebeu quatro de os mais cobiçados prêmios de a indústria cultural americana : O Oscar ( cinema ) , o Emmy ( tv ) , o Tony ( teatro ) e o Edgar ( literatura ) de suspense .",
"E o livro "" Se Houver Amanhã "" foi para as telas em formato de minissérie , a qual eu também assisti , lá por os anos de 1985 , 86.. .",
"Por o que me lembro de a série , essa conseguiu manter o clima de romance e aventura de o livro .",
"Pena não ter como revê - la , gostaria muito ... O que me consola é que , o que é melhor ainda , tenho o livrinho aqui , em a minha estante , bem a a minha mão , quando quiser relê - lo , o que já fiz mais de cinco vezes , desde que o comprei , em 1995.. .",
Um de os melhores livros de o sidney !,
"Foi o primeiro livro que eu li de o sidney sheldon , desde então me apaixonei ... esse livro é de aquele q vc ler uns dez vezes e não se cansa , um historia de prender sua atençao e de te transportar ´ pra dentro de a história ... Maravilhoso","livro
historia"
Eu de verdade não sabia o que esperar de o livro .,
"Digo , não sabia nem a sinopse antes de começar a ler .",
E foi tão bom quanto surpreendente descobrir a história tão bonita que estava guardada em essas páginas .,história
"Engraçado que foi em poucos momentos que eu me situava em a década de trinta , porque é evidente que o livro não se tornou menos realista com o passar de os anos .",
"Não dá pra não olhar a o redor e pensar diferente , nem que seja um pouquinho .",
"Pedro Bala , Sem-Pernas , o Gato , Dora , Professor ganharam meu coração com seu jeito de gente real .","Pedro
Bala
Sem-Pernas
Gato
Dora
Professor"
De história de verdade .,
"Mesmo que as vezes seja difícil acreditar que o livro fala de crianças , de adolescentes mais novos que eu .",
O que só reforça a mensagem de o livro .,
"Que a pobreza , o desprezo e a desigualdade tiram tudo de os capitães , inclusive a infância( menos a liberdade , que "" a liberdade é o bem maior de o mundo "" ) .",
"Achei tão poético e bonito , que mesmo a realidade que é mostrada ser bem crua e explicita , não tira o lírico e a alma tão verdadeira que tem em esse livro .",livro
Cinco estrelas bem dadas : ),
Resenha,
"O livro "" Capitães de Areia "" , de Jorge Amado retrata a realidade social brasileira , usando a cidade de Salvador em a Bahia como cenário .",
"A obra escrita , conta a história de um grupo de jovens que vivem em uma espécie de alojamento próximo a o porto de a cidade .",
"A história tem como personagens principais Pedro Bala , o Professor , Gato , Sem-Penas , João Grande , Querido-de-Deus e Pirulito , cada qual com sua função em o bando .",
"Como líder os meninos tinham Pedro Bala , um adolescente esperto e corajoso , de o qual saíam grande parte de as grandes idéias de roubo , que eram praticados por todo o grupo .",
"Situações peculiares vividas por meninos de rua são contadas com fidelidade durante todo o correr de a história , que apesar de escrita há várias décadas e , inclusive , em o século passado , nunca deixou de ser atual .",
Resenha ' Capitães de a Areia ' - Jorge Amado,
"Em o maravilhoso enredo de a obra , o autor , Jorge Amado , traz a a tona para o leitor emoções e questionamentos diante de a saga de os ' Capitães de a Areia ' , meninos de rua que vivem em um trabiche a a beira-mar , fato que dá nome a o livro .",enredo
"De entre os muitos meninos que fazem parte de a ' gangue ' , em o livro destacam - se o líder , Pedro Bala , Gato , Volta-Seca , Pirulito , Professor , João Grande e Sem-Pernas .",
"Todos , órfãos , ou abandonados vivem em uma constante aventura em as ruas de a Bahia , participando de pequenos furtos até roubos a a mão armada .",
"Cada um de os protagonistas tem um desfecho diferente , Pedro Bala torna - se um líder comunista , seguindo os passos de seu pai assassinado ; Gato é preso por seus vários golpes e trambiques ; Volta-Seca vira um cangaceiro de o grupo de Lampião , mas é preso e condenado ; Pirulito torna - se padre ; Professor começa a ganhar a vida como pintor ; João Grande entra em a luta profissional de capoeira ; e o deficiente Sem-Pernas acaba cometendo suicídio para que não seja preso e levado a o reformatório .",
"Como em várias de suas outras obras , Jorge denuncia problemas reais em a sociedade brasileira , denunciando a a população essas situações que ocorriam desde sua época e que perpetuam até hoje , essas sendo tratadas com descaso por a maioria de as autoridades públicas e muitas vezes nem chegam a o conhecimento de a população .",
"Rafaela Carvalho Camilo , 1º azul , Nº30",
"Livro "" Capitães de a areia "" de Jorge Amado",
"Capitães da Areia Em Capitães da Areia - 1937 - A "" cidade alta "" é que serve de cenário .",
Pedro Bala é o chefe de um grupo de jovens arruaceiros que roubam para sobreviver .,
"Nunca ninguém havia mencionado em literatura este bando de jovens que engenhosamente desafia as autoridades , roubando a classe privilegiada e dividindo o produto de o roubo entre os seus camaradas subnutridos .",
"Embora claramente uma obra de protesto "" Capitães de a Areia "" não se vale de ocas figuras centrais que se limitem a expor determinadas filosofias , tampouco marcas negativas .","Capitães
de
a
Areia"
"A o contrário todas principais personagens , como as secundárias mais significativas , são bem desenvolvidas , ainda que um tanto sentimentalmente capazes mesmo de combater com excessivo preconceito de o narrador onisciente .","principais
personagens
secundárias
mais
significativas"
"Os personagens são em sua maioria masculinos , e de entre eles , Pedro Bala , cuja agilidade sugerida por o apelido , merece especial atenção- Sem Perna , Pirulito , O Professor são os mais destacados : Ainda temos em o grupo João Grande , Volta Seca , Boa Vida muito bem configurados por os seus apelidos baseados em a aparência física .",personagens
"Dora é a única figura feminina merecedora de destaque , pois ela passa a assumir o referencial feminino de a família , a mãe .",Dora
"Para alguns ela é uma mãe , para outros uma irmã , e para Pedro Bala uma namorada .",
"Voltando a Pedro Bala , suas valentes façanhas de jovem capitão de enjeitados a organizador comunista dão margem a uma curiosa interpretação .",
Ele e seu bando vivem e agem como muitos jovens em as mesmas circunstâncias .,
"Estes jovens enfrentam o Governo , moram escondidos e garantem o Pão roubado de os ricos .",
Os Capitães da Areia se mostram bastantes envolvidos e respeitadores de o folclore e religião de a Bahia .,
"A o mesmo tempo que eles se relacionam bem com o padre José Pedro , eles se dão bem com a Mãe de Santo D. Aninha .",
"Envolviam - se em o candomblé , capoeira e respeitavam a igreja .",
"O livro em minha opinião é bem interessante para uma leitura casual , ou até mesmo uma discussão entre amigos .",livro
"pois a o mesmo tempo que o livro pode ser obsceno , é também realista , pois se passa entre jovens pobres que poucos são alfabetizados e tem que usar suas artimanhas para conseguir comida e enganar famílias( como por exemplo conseguir comida jogando em a cara que são órfãos ) .",livro
"o livro é ótimo , jóinha pra ele , só tome cuidado pra nao passar pra um infantil , pois o livro tem linguagens um tanto obscenas .",livro
"Stéphen Cesquin Ribeiro - 1º Colegial , classe Azul , Nº 26",
Resenha de o livro : Capitães de a areia,
"Por os livros escritos por Jorge Amado de a pra se ter um ideia de que para ele a realidade de o nosso pais é como se passa em a Baía de os Santos , ondes acontece a maioria de as dificuldades ou problemas que ele passou em sua época .",
"É um romance que tem em vista os "" capitães de a areia "" ( garotos de rua )onde se passa a realidade de violência , crime e marginalismo onde um bando de crianças e jovens de 9 a 16 rouba para se sustentar em meio a o abandono e independência .",
O livro é visto como um exemplo para que os jovens não se envolvam com crime e violência como acontece em o livro onde os jovens tem de roubar para viver mesmo que tenham que ferir pessoas inocentes .,
"Em o livro mostra que não vale a pena ter que ficar roubando para se sustentar , pois os ladrões tem que ficar fugindo de a policia , sem tirar o fato de que podem roubar algum traficante perigoso o que colocara a vida em risco .",
"Para mim o livro deu o exemplo de que não vale a pena ganhar dinheiro com o roubo , e sim honestamente dedicadamente e com suor .",
Lindo,
Um de os livros mais triste que já li em toda minha vida .,
Confesso que chorei muito com a tragetória de os garotos que se denomiavam Capitães de a Areia .,"tragetória
de
os
garotos"
"Suas vidas sofridas e todo acontecimento que acarreta em um final triste e pesaroso , mas impressionante e belo .",final
"Sem sombra de dúvidas um de os meus livros favoritos , pois acarreta emoção e mostra uma realidade distante , mas tão presente em a vida de todos .",livros
Acho que foi o livro de escola que mais gostei !,livro
"Porque é simplesmente poesia , uma poesia triste que se desfarça de alegre .",
"Lembro que eu sonhava com aqueles meninos , que sempre que eu via uma telha brilhando em o sol , lembrava de eles e de a ' cidade de a Bahia ' .","aqueles
meninos"
Até hoje invejo sua liberdade .,
"Meninos livres , soltos , independentes , unidos , esquecidos .",
O Sem-pernas era meu predileto ( : Recomendo pra quem quer se divertir e nao tem vergonha de chorar .,Sem-pernas
Começar minha resenha por o final de o livro .,
Mensagem ideológica fortíssima .,
Mesmo .,
"Faz sentido , Jorge Amado era coligado a o Partido a a época .",
Belíssimo livro .,livro
"Mostra a humanidade em todos , talvez com um pouco de idealismo .",
Emocionante .,
"O livro me surpreendeu , não esperava tanto .",livro
Visceral,
"Indubitavelmente , o melhor livro que já li .",
"Acho incrível a forma com a qual o livro é conduzido , apresentado e descrito .","forma
com
a
qual
o
livro
é
conduzido
,
apresentado
e
descrito"
Só posso dizer : quero ler de novo !,
"Interessante : a verdade nua e crua de os meninos de rua , um clássico que pode ser lido e contextualizado a a nossa realidade .","verdade
nua
e
crua
de
os
meninos
de
rua"
"Me emocionei com todos os garotos e seus sonhos , todos mesmo .","os
garotos
e
seus
sonhos"
"Claro que me apaixonei por Dora também - garota que servia de tudo um pouco para eles , uma família que nunca tiveram .",Dora
"Achei que algumas partes de o livro eram cansativas ( eu já sei que eles tinham uma vida sofrida e não tinham pais , Jorge Amado !","algumas
partes"
") e também achei que alguns personagens não foram devidamente aprofundados , como Barandão , por exemplo ( Afinal , por que ele foi escolhido por Pedro Bala para ser o líder de o grupo quando ele foi embora ?","alguns
personagens"
"E qual foi o fim de os Capitães de Areia , tendo em vista que agora ajudavam em as greves , sobreviveram por muito tempo e continuaram sendo grandes malandros e ladrões ?",
) .,
"Mas apesar de tudo , até que eu gostei d' este livro .",livro
"Li por obrigação , mas não foi uma leitura tão exaustiva como eu achei que seria .",
"Este livro não é ruim , como muitos pensam .",livro
"Existe a presença forte de sentimentalismo ali - "" em o lugar de o coração de um homem tem uma estrela "" , "" A paz de a noite presente em os olhos de Dora "" e outras mais .",
"Quase chorei em a parte de a morte de a única "" mãezinha "" , "" maninha "" .",
"Parecia que eu estava ali , passando por tudo aquilo com os Capitães de a areia , como eu estive presente em várias outras cenas mais .",
"Vemos em o livro a ignorância de a igreja , de a imprensa , de o povo .",
"Mas vemos também a inteligência proveniente de a bondade de raros , como o Padre e Don'Aninha e até mesmo Dora ; como os pobres são impotentes diante de as desgraças e de as doenças , de o preconceito e de o ódio .",
É marcante .,
"Recomendo para pessoas que têm paciência com autores que gostam de reforçar ideias e repeti - las até que o leitor se enfade , mas remondo também para os mesmos leitores que conseguem ver a beleza e a feiúra de um poema implícitas em cada frase .",
Uma análise de a sociedade,
Esse livro de Jorge Amadao é fundamental para compreendermos o comportamento de os jovens infratores .,livro
"É nítido perceber que a falta de uma família , de uma figura positiva em a vida de uma criança pode mudar sua vida para sempre .",
"Eu simplesmente amei a maneira carinhosa e detalhista que Jorge Amado descreve a rotina de essas crinças , seu personagem principal , Pedro Bala , é um menino sonhador , todos os personagens , em a minha opinião são extremamente carismáticos .",personagens
"Esse livro me ajudou muito a compreender nossa sociedade , e principalmente o quanto devemos zelar e olhar por os menores .",livro
"Muito bom , recomendo !",
"Este foi o primeiro livro de Jorge Amado que li ; escondida de minha mãe que me proibia de ler um autor tão "" pesado "" .",
"A os 9 anos , não compreendia metade de as palavras usadas em o livro mas me apaixonei por Pedro Bala , um personagem que oscila entre o bem e o mal e por o Professor , por quem eu torci durante todo o livro para que tivesse um final feliz .","Pedro
Bala
Professor"
"Chorei muito com as mazelas retratadas em o livro e , anos depois , relendo o texto com olhos adultos , descobri que Jorge Amado tinha um jeito só de ele de escrever e que eu gostava de isso .","mazelas
retratadas
em
o
livro"
"Em o final , contei para minha mãe que havia lido o livro e consegui permissão e acesso a os "" livros de o alto de a estante "" por conta de a minha "" maturidade literária "" que , segundo minha mãe , era maior que a de ela .",
"O livro não é ruim , mas Jorge Amado parece subestimar a inteligência de o leitor a o fazer de uma história interessante um panfleto político .",livro
"Talvez ele achasse necessário dizer , para as pessoas de a época , que as crianças de rua fazem coisas erradas não por serem intrinsecamente más , mas porque foram abandonadas ou porque nunca tiveram carinho .",
"O problema é que hoje , a o menos , isso soa tão óbvio que o livro acaba parecendo um mero manifesto anacrônico .",livro
"De qualquer forma , mesmo com estes poréns , a leitura vale a pena .",
"Alfredo Bosi escreveu sobre Jorge Amado : "" fecundo contador de histórias regionais "" .",
"Mas logo acrescentou , para desfazer a sugestão de elogio , que a "" sua poética "" passou incólume por o realismo crítico e por as demais experiências de a prosa moderna "" e "" o populismo literário deu uma mistura de equívocos , e o maior de eles será por certo o de passar por arte revolucionária "" Enfim , o que vemos é um jeito fácil de contar história , apelando pra oralidade como pretexto para o informalismo , e personagens romantizados a o extremo de a chatice .",personagens
"muito bom , Jorge Amado estava inspirado a o escrever a história de esse meninos de rua , crítico em a medida certa e bem interessante ...",
Crepúsculo .,
1 .,
Como Stephanie teve a ideia e como foi o processo até chegar a o sucesso de hoje .,
2 .,
Resenha de Crepúsculo,
"' 1- série criada por Sephenie Meyer que fez muito sucesso e vendeu mais de 70 milhão de cópias vendidas em todo o mundo , dito com o melhor livro de a década por a Amazon.com .",
Tudo começou quando Meyer teve um sonho estranho cujos personagens era uma humana e um vampiro .,
Primeiramente eram poucas páginas escritas .,
"Ela não tinha a intenção de escrever um livro , quanto mais uma saga .",
Mas queria ver onde os personagens de o sonho a levaria .,
"Ela colocou como local para sua história a pequena e chuvosa cidade de Forks , em Washington .",
"Inicialmente ela deu o nome de "" Forks "" a sua obra .",
"Meyer enviou 15 cartas , de as quais cinco não foram respondidas , nove foram rejeitadas e uma foi lida por uma assistente de a Writers House ( famosa agência literária ) .",
"Se não fosse por a insistência de a irmã , Stephanie teria desistido .",
"Essa assistente pediu para Meyer rever o livro , e depois de um mês foi chamada por uma agente literária de a Writers .",
"A primeira modificação feita foi a respeito de o nome , que passou de Forks para o título atual , "" Crepúsculo "" , ou em inglês "" Twilight "" .",
"O livro , já editado , foi mandado para nove diferentes editoras .",
"A diretora de a Megan Tingley Books , integrante de o grupo Little , Brown & Company , foi quem leu toda a história , durante um voo .",
Em o decorrer de seis meses a Saga foi lançada e se tornou um sucesso .,
Logo foram projetados filmes .,
Mais de cinco mil atores fizeram teste para o papel de o vampiro Edward Cullen .,
O roteiro de o filme de o primeiro livro de a saga foi escrito em seis semanas .,
Os quatro livros foram lançados entre os anos 2005 e 2008 .,
"O jornal Usa Today escolheu Meyer como escritora de o ano , em 2008 .",
"Crepúsculo foi inspirado em o livro Orgulho E Preconceito , de Jane Austen .",
"Lua Nova , o segundo livro de a saga , em Romeu e Julieta , de Willaim Shakespeare .",
"Eclipse em O Morro De os Ventos Uivantes , de Emily Bronte .",
